종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5010","-110","-2.15","5160","5170","4980","145663","730382785","234579697950","46822295"
"006840","AK홀딩스","19450","-50","-0.26","19700","19700","19100","19604","378017950","257665061450","13247561"
"027410","BGF","5170","-80","-1.52","5210","5240","5110","136284","702499070","494855809470","95716791"
"282330","BGF리테일","139000","-1000","-0.71","139000","141000","136500","23350","3216866500","2402462934000","17283906"
"138930","BNK금융지주","8830","270","3.15","8570","8840","8560","2162291","18924146590","2878008222180","325935246"
"001460","BYC","505000","-8000","-1.56","506000","515000","496000","832","419642500","315430575000","624615"
"001465","BYC우","197500","-500","-0.25","198500","198500","197000","58","11472500","42538537500","215385"
"001040","CJ","81500","-400","-0.49","81600","82200","80700","34854","2827119800","2377925337000","29176998"
"079160","CJ CGV","24150","-250","-1.02","24450","24500","23800","110068","2650514400","985456713150","40805661"
"00104K","CJ4우(전환)","70400","-600","-0.85","70200","70600","69600","5631","394234200","297546444800","4226512"
"000120","CJ대한통운","126000","-1500","-1.18","126500","127500","125000","26951","3387217000","2874355344000","22812344"
"011150","CJ씨푸드","3810","-65","-1.68","3860","3870","3795","137086","523634205","136896245130","35930773"
"011155","CJ씨푸드1우","36100","-850","-2.30","36950","36950","35300","389","13941150","7220000000","200000"
"001045","CJ우","49050","-400","-0.81","49050","49300","48600","5547","271406450","110863938150","2260223"
"097950","CJ제일제당","385000","4500","1.18","379500","388500","377000","36588","14055580500","5795861610000","15054186"
"097955","CJ제일제당 우","174500","0","0.00","174500","175500","171500","3015","523127500","231637058500","1327433"
"000590","CS홀딩스","65800","800","1.23","65100","66000","64800","2372","154815200","75964915600","1154482"
"012030","DB","965","-5","-0.52","967","971","955","314626","302816696","194132845345","201173933"
"016610","DB금융투자","6670","50","0.76","6630","6670","6580","117789","780850340","283117414630","42446389"
"005830","DB손해보험","64400","3800","6.27","61500","64900","61100","386257","24669531200","4559520000000","70800000"
"000990","DB하이텍","78000","100","0.13","78500","79000","76900","954264","74589728600","3463089864000","44398588"
"000995","DB하이텍1우","99700","-3300","-3.20","103000","103000","99700","525","52506900","11197905200","112316"
"139130","DGB금융지주","9730","240","2.53","9520","9730","9490","812413","7837916930","1645788955090","169145833"
"001530","DI동일","262000","-5000","-1.87","265000","267000","257000","6183","1614685500","657791610000","2510655"
"000210","DL","66100","-100","-0.15","66100","67200","65700","68614","4560208900","1385183932400","20955884"
"001880","DL건설","31150","1950","6.68","29300","31650","29000","188304","5753621450","686959796600","22053284"
"000215","DL우","38250","250","0.66","38550","38550","37750","872","33279100","64493898750","1686115"
"375500","DL이앤씨","133000","1000","0.76","132000","134000","130000","129102","17056126000","2574712154000","19358738"
"37550K","DL이앤씨우","70700","-800","-1.12","71800","71800","70600","5908","419554700","149451669500","2113885"
"004840","DRB동일","5220","-100","-1.88","5350","5350","5160","60348","314590440","104034600000","19930000"
"155660","DSR","5780","-170","-2.86","5950","5950","5730","83653","484082270","92480000000","16000000"
"069730","DSR제강","4855","-85","-1.72","4990","4990","4835","84226","411776480","69912000000","14400000"
"017940","E1","47900","-100","-0.21","48000","48200","47500","5501","263286450","328594000000","6860000"
"365550","ESR켄달스퀘어리츠","6210","-110","-1.74","6310","6320","6190","347680","2164424750","1323282690000","213089000"
"383220","F&F","866000","-42000","-4.63","882000","891000","855000","49388","42708432000","6634785390000","7661415"
"007700","F&F홀딩스","32050","-750","-2.29","32800","32850","31750","57911","1854928900","1253615462350","39114367"
